Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,F,335.0,98.5,44.0,44.0,,,,15.9,16.0,,,,1.03,1.0,0.5,1.77,1.75,,,,2.56,3.0,1.75,,,,,,4.5,,,38.0,,,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,,,,74.7,535000.0,,168.0,1180.0,,,278.0,805.0,,,,,,,,,,,,,,,,,4.24,42.2,132.0,,148.0,104.0,120.0,38.0,5.5,,W1100X499,W1100X499,499.0,63500.0,1120.0,1120.0,,,,404.0,406.0,,,,26.2,25.4,12.7,45.0,44.4,,,,65.0,76.2,44.5,,,,,,4.5,,,38.0,,,12900.0,26500.0,23100.0,452.0,499.0,3870.0,2460.0,88.6,,,,31100.0,144000.0,,108000.0,491.0,,,4560.0,13200.0,,,,,,,,,,,,,,,,,108.0,1070.0,3350.0,,3760.0,2640.0,3050.0,965.0,140.0,
W,W44X290,W44X290,F,290.0,85.4,43.6,43.625,,,,15.8,15.875,,,,0.865,0.875,0.4375,1.58,1.5625,,,,2.36,2.8125,1.625,,,,,,5.02,,,45.0,,,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,,,,50.9,461000.0,,166.0,1040.0,,,248.0,701.0,,,,,,,,,,,,,,,,,4.2,42.0,131.0,,147.0,103.0,119.0,38.0,5.5,,W1100X433,W1100X433,433.0,55100.0,1110.0,1110.0,,,,401.0,403.0,,,,22.0,22.2,11.1,40.1,39.7,,,,59.9,71.4,41.3,,,,,,5.02,,,45.0,,,11200.0,23100.0,20300.0,452.0,433.0,3360.0,2160.0,88.6,,,,21200.0,124000.0,,107000.0,433.0,,,4060.0,11500.0,,,,,,,,,,,,,,,,,107.0,1070.0,3330.0,,3730.0,2620.0,3020.0,965.0,140.0,
W,W44X262,W44X262,F,262.0,77.2,43.3,43.25,,,,15.8,15.75,,,,0.785,0.8125,0.4375,1.42,1.4375,,,,2.2,2.625,1.625,,,,,,5.57,,,49.6,,,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,,,,37.3,405000.0,,165.0,928.0,,,223.0,630.0,,,,,,,,,,,,,,,,,4.17,41.9,131.0,,147.0,102.0,118.0,38.0,5.5,,W1100X390,W1100X390,390.0,49800.0,1100.0,1100.0,,,,401.0,400.0,,,,19.9,20.6,11.1,36.1,36.5,,,,55.9,66.7,41.3,,,,,,5.57,,,49.6,,,10000.0,20800.0,18200.0,450.0,384.0,2980.0,1920.0,88.1,,,,15500.0,109000.0,,106000.0,386.0,,,3650.0,10300.0,,,,,,,,,,,,,,,,,106.0,1060.0,3330.0,,3730.0,2590.0,3000.0,965.0,140.0,
W,W44X230,W44X230,F,230.0,67.8,42.9,42.875,,,,15.8,15.75,,,,0.71,0.6875,0.375,1.22,1.25,,,,2.01,2.4375,1.5625,,,,,,6.45,,,54.8,,,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,,,,24.9,346000.0,,165.0,793.0,,,192.0,547.0,,,,,,,,,,,,,,,,,4.13,41.7,130.0,,146.0,102.0,118.0,38.0,5.5,,W1100X343,W1100X343,343.0,43700.0,1090.0,1090.0,,,,401.0,400.0,,,,18.0,17.5,9.52,31.0,31.8,,,,51.1,61.9,39.7,,,,,,6.45,,,54.8,,,8660.0,18000.0,15900.0,445.0,331.0,2570.0,1660.0,87.1,,,,10400.0,92900.0,,106000.0,330.0,,,3150.0,8960.0,,,,,,,,,,,,,,,,,105.0,1060.0,3300.0,,3710.0,2590.0,3000.0,965.0,140.0,
W,W40X655,W40X655,T,655.0,193.0,43.6,43.625,,,,16.9,16.875,,,,1.97,2.0,1.0,3.54,3.5625,,,,4.72,4.8125,2.1875,,,,,,2.39,,,17.3,,,56500.0,3080.0,2590.0,17.1,2870.0,542.0,340.0,3.86,,,,589.0,1150000.0,,169.0,2530.0,,,529.0,1530.0,,,,,,,,,,,,,,,,,4.71,40.1,132.0,,149.0,104.0,121.0,34.0,7.5,,W1000X976,W1000X976,975.0,125000.0,1110.0,1110.0,,,,429.0,429.0,,,,50.0,50.8,25.4,89.9,90.5,,,,120.0,122.0,55.6,,,,,,2.39,,,17.3,,,23500.0,50500.0,42500.0,434.0,1190.0,8880.0,5570.0,98.0,,,,245000.0,309000.0,,109000.0,1050.0,,,8670.0,25100.0,,,,,,,,,,,,,,,,,120.0,1020.0,3350.0,,3780.0,2640.0,3070.0,864.0,191.0,
W,W40X593,W40X593,T,593.0,174.0,43.0,43.0,,,,16.7,16.75,,,,1.79,1.8125,0.9375,3.23,3.25,,,,4.41,4.5,2.125,,,,,,2.58,,,19.1,,,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,,,,445.0,997000.0,,166.0,2240.0,,,479.0,1370.0,,,,,,,,,,,,,,,,,4.63,39.8,130.0,,147.0,103.0,120.0,34.0,7.5,,W1000X883,W1000X883,883.0,112000.0,1090.0,1090.0,,,,424.0,425.0,,,,45.5,46.0,23.8,82.0,82.6,,,,112.0,114.0,54.0,,,,,,2.58,,,19.1,,,21000.0,45200.0,38300.0,432.0,1050.0,7880.0,4950.0,96.5,,,,185000.0,268000.0,,107000.0,932.0,,,7850.0,22500.0,,,,,,,,,,,,,,,,,118.0,1010.0,3300.0,,3730.0,2620.0,3050.0,864.0,191.0,
W,W40X503,W40X503,T,503.0,148.0,42.1,42.0,,,,16.4,16.375,,,,1.54,1.5625,0.8125,2.76,2.75,,,,3.94,4.0,2.0,,,,,,2.98,,,22.3,,,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,,,,277.0,789000.0,,161.0,1830.0,,,403.0,1150.0,,,,,,,,,,,,,,,,,4.5,39.3,129.0,,145.0,101.0,117.0,34.0,7.5,,W1000X748,W1000X748,748.0,95500.0,1070.0,1070.0,,,,417.0,416.0,,,,39.1,39.7,20.6,70.1,69.8,,,,100.0,102.0,50.8,,,,,,2.98,,,22.3,,,17300.0,38000.0,32400.0,427.0,849.0,6460.0,4080.0,94.5,,,,115000.0,212000.0,,104000.0,762.0,,,6600.0,18800.0,,,,,,,,,,,,,,,,,114.0,998.0,3280.0,,3680.0,2570.0,2970.0,864.0,191.0,
W,W40X431,W40X431,T,431.0,127.0,41.3,41.25,,,,16.2,16.25,,,,1.34,1.3125,0.6875,2.36,2.375,,,,3.54,3.625,1.875,,,,,,3.44,,,25.5,,,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,,,,177.0,638000.0,,158.0,1510.0,,,341.0,969.0,,,,,,,,,,,,,,,,,4.41,38.9,127.0,,143.0,98.8,115.0,34.0,7.5,,W1000X642,W1000X642,642.0,81900.0,1050.0,1050.0,,,,411.0,413.0,,,,34.0,33.3,17.5,59.9,60.3,,,,89.9,92.1,47.6,,,,,,3.44,,,25.5,,,14500.0,32100.0,27700.0,422.0,703.0,5370.0,3410.0,92.7,,,,73700.0,171000.0,,102000.0,629.0,,,5590.0,15900.0,,,,,,,,,,,,,,,,,112.0,988.0,3230.0,,3630.0,2510.0,2920.0,864.0,191.0,
W,W40X397,W40X397,T,397.0,117.0,41.0,41.0,,,,16.1,16.125,,,,1.22,1.25,0.625,2.2,2.1875,,,,3.38,3.5,1.8125,,,,,,3.66,,,28.0,,,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,,,,142.0,579000.0,,156.0,1380.0,,,318.0,891.0,,,,,,,,,,,,,,,,,4.38,38.8,126.0,,142.0,98.1,114.0,34.0,7.5,,W1000X591,W1000X591,591.0,75500.0,1040.0,1040.0,,,,409.0,410.0,,,,31.0,31.8,15.9,55.9,55.6,,,,85.9,88.9,46.0,,,,,,3.66,,,28.0,,,13300.0,29500.0,25600.0,422.0,641.0,4920.0,3130.0,92.5,,,,59100.0,155000.0,,101000.0,574.0,,,5210.0,14600.0,,,,,,,,,,,,,,,,,111.0,986.0,3200.0,,3610.0,2490.0,2900.0,864.0,191.0,
W,W40X372,W40X372,T,372.0,110.0,40.6,40.625,,,,16.1,16.125,,,,1.16,1.1875,0.625,2.05,2.0625,,,,3.23,3.3125,1.8125,,,,,,3.93,,,29.5,,,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,,,,116.0,528000.0,,155.0,1280.0,,,295.0,829.0,,,,,,,,,,,,,,,,,4.33,38.6,125.0,,141.0,97.3,113.0,34.0,7.5,,W1000X554,W1000X554,554.0,71000.0,1030.0,1030.0,,,,409.0,410.0,,,,29.5,30.2,15.9,52.1,52.4,,,,82.0,84.1,46.0,,,,,,3.93,,,29.5,,,12300.0,27500.0,23900.0,419.0,591.0,4540.0,2900.0,91.4,,,,48300.0,142000.0,,100000.0,533.0,,,4830.0,13600.0,,,,,,,,,,,,,,,,,110.0,980.0,3180.0,,3580.0,2470.0,2870.0,864.0,191.0,
